Time (hrs),LED Luminosity,Unit Number,Temperature (K)
4704,0.7949,Unit 9,298.15
5040,0.7963,Unit 9,298.15
5376,0.7711,Unit 9,298.15
5712,0.7762,Unit 9,298.15
6048,0.7731,Unit 9,298.15
6384,0.7789,Unit 9,298.15
6720,0.7492,Unit 9,298.15
7056,0.759,Unit 9,298.15
7392,0.765,Unit 9,298.15
7728,0.7312,Unit 9,298.15
8064,0.7449,Unit 9,298.15
8400,0.77,Unit 9,298.15
8736,0.7379,Unit 9,298.15
9072,0.7522,Unit 9,298.15
9408,0.71,Unit 9,298.15
9744,0.7245,Unit 9,298.15
336,0.9532,Unit 10,298.15
672,0.945,Unit 10,298.15
1008,0.9524,Unit 10,298.15
1344,0.9275,Unit 10,298.15
1680,0.9125,Unit 10,298.15
2016,0.91,Unit 10,298.15
2352,0.8961,Unit 10,298.15
2688,0.8845,Unit 10,298.15
3024,0.8623,Unit 10,298.15
3360,0.8457,Unit 10,298.15
3696,0.8876,Unit 10,298.15
4032,0.8537,Unit 10,298.15
4368,0.8735,Unit 10,298.15
4704,0.8481,Unit 10,298.15
5040,0.8376,Unit 10,298.15
5376,0.8466,Unit 10,298.15
5712,0.8462,Unit 10,298.15
6048,0.8493,Unit 10,298.15
6384,0.8301,Unit 10,298.15
6720,0.8117,Unit 10,298.15
7056,0.8426,Unit 10,298.15
7392,0.8161,Unit 10,298.15
7728,0.8507,Unit 10,298.15
8064,0.7979,Unit 10,298.15
8400,0.797,Unit 10,298.15
8736,0.8015,Unit 10,298.15
9072,0.8069,Unit 10,298.15
9408,0.8001,Unit 10,298.15
9744,0.7936,Unit 10,298.15
336,1.0055,Unit 11,298.15
672,0.9882,Unit 11,298.15
1008,0.9329,Unit 11,298.15
1344,0.9453,Unit 11,298.15
1680,0.9809,Unit 11,298.15
2016,0.9303,Unit 11,298.15
2352,0.9472,Unit 11,298.15
2688,0.9182,Unit 11,298.15
3024,0.9169,Unit 11,298.15
3360,0.8807,Unit 11,298.15
3696,0.9132,Unit 11,298.15
4032,0.9089,Unit 11,298.15
4368,0.8994,Unit 11,298.15
4704,0.9243,Unit 11,298.15
5040,0.9235,Unit 11,298.15
5376,0.8629,Unit 11,298.15
5712,0.8932,Unit 11,298.15
6048,0.87,Unit 11,298.15
6384,0.8864,Unit 11,298.15
6720,0.878,Unit 11,298.15
7056,0.8859,Unit 11,298.15
7392,0.8951,Unit 11,298.15
7728,0.8551,Unit 11,298.15
8064,0.812,Unit 11,298.15
8400,0.8884,Unit 11,298.15
8736,0.8781,Unit 11,298.15
9072,0.8954,Unit 11,298.15
9408,0.8601,Unit 11,298.15
9744,0.907,Unit 11,298.15
336,0.9793,Unit 12,298.15
672,0.9648,Unit 12,298.15
1008,0.9585,Unit 12,298.15
1344,0.9705,Unit 12,298.15
1680,0.9489,Unit 12,298.15
2016,0.9629,Unit 12,298.15
2352,0.9511,Unit 12,298.15
2688,0.9441,Unit 12,298.15
3024,0.9591,Unit 12,298.15
3360,0.9844,Unit 12,298.15
3696,0.9389,Unit 12,298.15
4032,0.9131,Unit 12,298.15
4368,0.9459,Unit 12,298.15
4704,0.912,Unit 12,298.15
5040,0.9102,Unit 12,298.15
5376,0.9349,Unit 12,298.15
5712,0.9001,Unit 12,298.15
6048,0.9202,Unit 12,298.15
6384,0.9245,Unit 12,298.15
6720,0.8824,Unit 12,298.15
7056,0.9066,Unit 12,298.15
7392,0.8965,Unit 12,298.15
7728,0.8741,Unit 12,298.15
8064,0.8891,Unit 12,298.15
8400,0.8854,Unit 12,298.15
8736,0.8846,Unit 12,298.15
9072,0.8784,Unit 12,298.15
9408,0.8843,Unit 12,298.15
9744,0.8922,Unit 12,298.15
336,0.968,Unit 13,298.15
672,0.9883,Unit 13,298.15
